subcategory,subcategory_index
newsus,0
football_nfl,1
movies-celebrity,2
markets,3
medical,4
newsworld,5
soccer,6
newscrime,7
autosenthusiasts,8
baseball_mlb,9
music-celebrity,10
lifestylepetsanimals,11
restaurantsandnews,12
finance-companies,13
tv-celebrity,14
lifestylebuzz,15
tv-gallery,16
autostokyo,17
autosnews,18
tipsandtricks,19
travelnews,20
autossema,21
newspolitics,22
foodnews,23
tvnews,24
autossports,25
football_nfl_videos,26
basketball_nba,27
autosreview,28
movienews,29
newsbusiness,30
entertainment-celebrity,31
finance-career-education,32
weathertopstories,33
healthnews,34
entertainment-books,35
personalfinance,36
basketball_ncaa,37
more_sports,38
football_ncaa,39
causes,40
company-news,41
health-cancer,42
finance-real-estate,43
viral,44
financenews,45
mma,46
golf,47
elections-2020-us,48
news,49
lifestylecelebstyle,50
lifestyleroyals,51
weightloss,52
traveltripideas,53
lifestylesmartliving,54
finance-retirement,55
newsworldpolitics,56
wellness,57
voices,58
traveltips,59
humor,60
health-news,61
lifestylefamilyandrelationships,62
celebrity,63
newsopinion,64
factcheck,65
newsscienceandtechnology,66
finance-healthcare,67
autosclassics,68
science,69
lifestylehomeandgarden,70
newsgoodnews,71
baseball_mlb_videos,72
fitness,73
tvvideos,74
newstrends,75
shop-holidays,76
finance-homesandpropertysection,77
newsphotos,78
finance-taxes,79
lifestyledidyouknow,80
music-gallery,81
autosownership,82
shop-books-movies-tv,83
movies-gallery,84
shop-all,85
popculture,86
newsfactcheck,87
lifestyle,88
icehockey_nhl,89
recipes,90
video,91
advice,92
movievideo,93
lifestylehoroscope,94
newsoffbeat,95
quickandeasy,96
lifestylefashion,97
nutrition,98
tv-reviews,99
musicnews,100
boxing,101
racing,102
movies-awards,103
finance-top-stocks,104
autosmotorcycles,105
animals,106
lifestylecleaningandorganizing,107
beverages,108
travelarticle,109
finance-savemoney,110
weight-loss,111
videos,112
autosluxury,113
lifestyle-news-feature,114
causes-environment,115
lifestylevideo,116
music-awards,117
tv-recaps,118
basketball_wnba,119
autospassenger,120
causes-green-living,121
finance-education,122
peopleandplaces,123
boxing-mma,124
autosbuying,125
autossuvs,126
lifestylerelationships,127
mmaufc,128
awards,129
lifestyleparenting,130
shop-apparel,131
autostrucks,132
travel-points-rewards,133
newsrealestate,134
finance-career,135
autosresearch,136
autoshybrids,137
weatherfullscreenmaps,138
lifestylediy,139
cma-awards,140
autosresearchguides,141
lifestylebeauty,142
indepth,143
newselection2020,144
finance-saving-investing,145
awardstyle,146
lifestylecareer,147
ads-lung-health,148
football_ncaa_videos,149
lifestyleweddings,150
foodanddrink,151
mentalhealth,152
tv-golden-globes,153
ustravel,154
internationaltravel,155
sports_news,156
topnews,157
finance-insurance,158
causes-poverty,159
yearinoffbeatgoodnews,160
causes-military-appreciation,161
outdoors,162
lifestylepets,163
travel,164
finance-video,165
newsweather,166
musicvideos,167
lifestylefamily,168
padding,169
